VG, VTG, VD, ID, IG, IS, ITG
0.3, 1, -0.05, -1.9000000000000002E-13, 0, 0, 5E-13
0.28, 1, -0.05, 2.0000000000000003E-14, 0, 0, 5E-13
0.26, 1, -0.05, 1.8000000000000002E-13, 0, 0, 0
0.24, 1, -0.05, 1E-13, 0, 0, 0
0.22, 1, -0.05, 2.2000000000000002E-13, 0, 0, 0
0.2, 1, -0.05, 3.1000000000000004E-13, 0, 0, 0
0.18, 1, -0.05, 3.6000000000000003E-13, 0, 0, -5E-13
0.16, 1, -0.05, 2.9000000000000003E-13, 0, 0, 0
0.14, 1, -0.05, -1.2000000000000002E-13, 0, 0, 0
0.12, 1, -0.05, 9.0000000000000008E-14, 0, 0, 5E-13
0.1, 1, -0.05, 3.4E-13, 0, 0, 0
0.08, 1, -0.05, 1.2000000000000002E-13, 0, 0, 0
0.06, 1, -0.05, -2E-13, 0, 5E-13, 5E-13
0.04, 1, -0.05, -2.0000000000000003E-14, 0, 0, 0
0.02, 1, -0.05, 1.2000000000000002E-13, 0, 0, 0
0, 1, -0.05, 2.8E-13, 0, 0, -5E-13
-0.02, 1, -0.05, 1.5000000000000002E-13, 0, 0, 0
-0.04, 1, -0.05, 0, 0, 5E-13, 5E-13
-0.06, 1, -0.05, -3.0000000000000005E-14, 0, 0, 0
-0.08, 1, -0.05, -1.2000000000000002E-13, 0, 0, 0
-0.1, 1, -0.05, 1.6000000000000003E-13, 0, 0, 0
-0.12, 1, -0.05, -5E-14, 0, 0, -5E-13
-0.14, 1, -0.05, 2.2000000000000002E-13, 0, 0, 0
-0.16, 1, -0.05, 4.7E-13, 0, 0, 0
-0.18, 1, -0.05, 4.5000000000000005E-13, 0, 0, 0
-0.2, 1, -0.05, 1.1000000000000001E-13, 0, 0, 0
-0.22, 1, -0.05, -4.0000000000000006E-14, 0, 0, 0
-0.24, 1, -0.05, 2.8E-13, 0, 0, 0
-0.26, 1, -0.05, -1.7E-13, 0, 0, 0
-0.28, 1, -0.05, -5E-14, 0, 0, 0
-0.3, 1, -0.05, -2.6E-13, 0, 0, -5E-13
-0.32, 1, -0.05, -1.3E-13, 0, 0, 0
-0.34, 1, -0.05, 5.2E-13, 0, 0, 0
-0.36, 1, -0.05, 1.6000000000000003E-13, 0, 0, 0
-0.38, 1, -0.05, -1.0000000000000002E-14, 0, 0, 0
-0.4, 1, -0.05, -9.0000000000000008E-14, 0, 0, 0
-0.42, 1, -0.05, 1.6000000000000003E-13, 0, 0, 0
-0.44, 1, -0.05, 1.8000000000000002E-13, 0, 0, 0
-0.46, 1, -0.05, 2.2000000000000002E-13, 0, 0, 5E-13
-0.48, 1, -0.05, 1.0000000000000002E-14, 0, 0, 0
-0.5, 1, -0.05, -1.7E-13, 0, 0, 0
-0.52, 1, -0.05, -2.0000000000000003E-14, 0, 0, 0
-0.54, 1, -0.05, 1.3E-13, 0, 0, 0
-0.56, 1, -0.05, -1E-13, 0, 0, 0
-0.58, 1, -0.05, 1.4E-13, 0, 0, 0
-0.6, 1, -0.05, 4.0000000000000006E-14, -5E-13, 0, -5E-13
-0.62, 1, -0.05, 4.6000000000000006E-13, 0, 0, 0
-0.64, 1, -0.05, 1.0000000000000002E-14, 0, 5E-13, 5E-13
-0.66, 1, -0.05, 8.0000000000000013E-14, 0, 0, -5E-13
-0.68, 1, -0.05, 3.0000000000000005E-14, 0, 0, -5E-13
-0.70000000000000007, 1, -0.05, 1.7E-13, -5E-13, 0, -5E-13
-0.72, 1, -0.05, 3.0000000000000005E-14, 0, 0, 5E-13
-0.74, 1, -0.05, -1.9000000000000002E-13, 0, 0, 0
-0.76, 1, -0.05, 1.2000000000000002E-13, 0, 0, -5E-13
-0.78, 1, -0.05, 3.0000000000000005E-14, 0, 0, 0
-0.8, 1, -0.05, 1.9000000000000002E-13, 0, 0, 5E-13
-0.82000000000000006, 1, -0.05, -1.9000000000000002E-13, 0, 0, 0
-0.84, 1, -0.05, -1.9000000000000002E-13, 0, 0, -5E-13
-0.86, 1, -0.05, 3.0000000000000005E-14, 0, 0, 0
-0.88, 1, -0.05, 3.0000000000000003E-13, 0, 0, -5E-13
-0.9, 1, -0.05, 2.1000000000000001E-13, 0, 0, 0
-0.92, 1, -0.05, -4E-13, 0, 0, 0
-0.94000000000000006, 1, -0.05, -3.7000000000000004E-13, 0, 1E-12, 0
-0.96, 1, -0.05, -2.7E-13, 0, 5E-13, 0
-0.98, 1, -0.05, -1.1900000000000002E-12, 0, 1E-12, 0
-1, 1, -0.05, -2.0700000000000003E-12, 0, 1.5E-12, 5E-13
-1.02, 1, -0.05, -3.82E-12, 0, 3.5E-12, 0
-1.04, 1, -0.05, -5.85E-12, 0, 5.4999999999999996E-12, 0
-1.06, 1, -0.05, -9.4000000000000011E-12, 0, 9.5E-12, 0
-1.08, 1, -0.05, -1.5380000000000003E-11, 0, 1.6E-11, 0
-1.1, 1, -0.05, -2.686E-11, 0, 2.6E-11, 0
-1.12, 1, -0.05, -4.5070000000000006E-11, 0, 4.3E-11, 0
-1.1400000000000001, 1, -0.05, -7.0810000000000012E-11, 0, 7.05E-11, 0
-1.16, 1, -0.05, -1.1338000000000001E-10, 0, 1.125E-10, 0
-1.18, 1, -0.05, -1.7997000000000003E-10, 0, 1.815E-10, 0
-1.2, 1, -0.05, -2.8233000000000005E-10, 0, 2.835E-10, -5E-13
-1.22, 1, -0.05, -4.4635E-10, 0, 4.47E-10, -5E-13
-1.24, 1, -0.05, -6.8012E-10, 0, 6.845E-10, 0
-1.26, 1, -0.05, -1.05498E-09, 0, 1.0525E-09, 0
-1.28, 1, -0.05, -1.5754E-09, 0, 1.546E-09, 0
-1.3, 1, -0.05, -2.2917E-09, 0, 2.2855E-09, 0
-1.32, 1, -0.05, -3.2806E-09, 0, 3.2634999999999997E-09, 0
-1.34, 1, -0.05, -4.5053E-09, 0, 4.5025E-09, 0
-1.36, 1, -0.05, -6.0595E-09, 0, 6.033E-09, 0
-1.3800000000000001, 1, -0.05, -7.8498E-09, 0, 7.8335E-09, 0
-1.4000000000000001, 1, -0.05, -9.9198E-09, 0, 9.925999999999999E-09, 0
-1.42, 1, -0.05, -1.22412E-08, 0, 1.2169999999999999E-08, 0
-1.44, 1, -0.05, -1.4686399999999998E-08, -5E-13, 1.4719999999999999E-08, 5E-13
-1.46, 1, -0.05, -1.73654E-08, 0, 1.7365E-08, 0
-1.48, 1, -0.05, -2.0067999999999998E-08, -5E-13, 2.007E-08, -5E-13
-1.5, 1, -0.05, -2.29436E-08, 0, 2.299E-08, 0
-1.52, 1, -0.05, -2.5850999999999998E-08, 0, 2.5844999999999998E-08, 0
