
SetupTitle, 2502-IdVgg-Vg
PrimitiveTest, I/V Sweep
TestParameter, Context.MainFrame, B1500A
TestParameter, Channel.UnitType, SMU, SMU, SMU, SMU
TestParameter, Channel.Unit, SMU4:HR, SMU1:HP, SMU2:HR, SMU5:HR
TestParameter, Channel.IName, IS, ID, IG, ITG
TestParameter, Channel.VName, VS, VD, VG, VTG
TestParameter, Channel.Mode, COMMON, V, V, V
TestParameter, Channel.Func, CONST, CONST, VAR2, VAR1
TestParameter, Channel.Index, 
TestParameter, Channel.Time, 
TestParameter, Measurement.Port.Unit, SMU4:HR, SMU1:HP, SMU2:HR, SMU5:HR
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE, NONE, NONE
TestParameter, Measurement.Port.Filter, ON, ON, ON, ON
TestParameter, Measurement.Port.OutputVoltageComparison, 0, 0, 0, 0
TestParameter, Measurement.Primary.Locus, Single
TestParameter, Measurement.Primary.Scale, LINEAR
TestParameter, Measurement.Primary.Start, 3
TestParameter, Measurement.Primary.Stop, -3
TestParameter, Measurement.Primary.Step, -0.02
TestParameter, Measurement.Primary.Compliance, 0.001
TestParameter, Measurement.Primary.PowerCompliance, 0
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY
TestParameter, Measurement.PostOutput.Value, START
TestParameter, Measurement.PostOutput.Retention, OFF
TestParameter, Measurement.Secondary.Start, 0.3
TestParameter, Measurement.Secondary.Count, 34
TestParameter, Measurement.Secondary.Step, -0.1
TestParameter, Measurement.Secondary.Compliance, 0.001
TestParameter, Measurement.Secondary.PowerCompliance, 0
TestParameter, Measurement.Bias.Source, 0, -0.05, 0.3, 3
TestParameter, Measurement.Bias.Compliance, 0.1, 0.001, 0.001, 0.001
TestParameter, Measurement.Monitor.Unit, SMU1:HP, SMU2:HR, SMU4:HR, SMU5:HR
TestParameter, Measurement.Monitor.Adc, HR ADC, HS ADC, HS ADC, HS ADC
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side, Compliance Side, Compliance Side
TestParameter, Measurement.Monitor.RangingMode, AUTO, LIMITED, LIMITED, LIMITED
TestParameter, Measurement.Monitor.RangeBoundary, , 10nA, 10nA, 10nA
